,Nombre,Genero,Artistas,Album,Popularidad,Duracion,Explicito
102,Tessellate,alt-rock,alt-J,An Awesome Wave,52.0,181400.0,Falso
103,"Russian Alt Rock (Car Wash With Papa) - ""Приключение на автомойке""",alt-rock,The Incomplete Orchestra,TIO's Kid's Jams (Car Wash EP),0.0,165119.0,Falso
104,Ms,alt-rock,alt-J,An Awesome Wave,45.0,238746.0,Falso
105,Under One Roof Alt Rock,alt-rock,Jack Curtis Dubowsky,Under One Roof (Original Motion Picture Soundtrack Expanded Edition),0.0,65336.0,Falso
108,Panoramic View,alt-rock,AWOLNATION,Panoramic View,50.0,232733.0,sin_valor
109,So Into You,alt-rock,Atlanta Rhythm Section,A Rock And Roll Alternative,56.0,260866.0,Falso
110,U&ME,alt-rock,alt-J,The Dream,43.0,198840.0,Falso
111,Rock Steady,alt-rock,"Alton Ellis, The Flames",Mr Soul of Jamaica,42.0,160266.0,Falso
112,Altered State Of Mind,alt-rock,Milmine,So Long And Thanks,39.0,226000.0,Falso
113,sin_nombre,alt-rock,Midland,On The Rocks,31.0,206040.0,Falso
114,M.S.S,alt-rock,Red,M.S.S,33.0,205531.0,Falso
115,"Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")",alt-rock,"Pritam, Arijit Singh, Shreya Ghoshal, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya","Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")",49.0,246988.0,Falso
116,SAVIOR,alt-rock,Smile Empty Soul,SAVIOR,35.0,262425.0,Falso
117,Rockstar,alt-rock,ALT BLK ERA,Rockstar,26.0,148557.0,Falso
118,Philadelphia,alt-rock,alt-J,The Dream,33.0,218093.0,Falso
119,Ghostlove (1st Movement),alt-rock,Uncle Morty and the Empty Forties,Ghostlove: An Alt-Rock Musical in 5 Parts,25.0,65387.0,Falso
120,Bane,alt-rock,alt-J,The Dream,29.0,310000.0,Falso
121,Ghostlove (2nd Movement),alt-rock,sin_artista,Ghostlove: An Alt-Rock Musical in 5 Parts,25.0,61672.0,Falso
122,Alternative Trouble,alt-rock,LUCKI,Alternative Trap,34.0,198060.0,Verdadero
123,Ghostlove (3rd Movement),alt-rock,Uncle Morty and the Empty Forties,Ghostlove: An Alt-Rock Musical in 5 Parts,25.0,75046.0,Falso
124,"Bloodflood, Pt. II",alt-rock,alt-J,This Is All Yours,30.0,319497.0,Falso
125,Ghostlogue,alt-rock,Uncle Morty and the Empty Forties,sin_album,25.0,97338.0,Falso
126,Chicago,alt-rock,alt-J,The Dream,30.0,235386.0,Falso
127,Ghosterture,Sin genero,Uncle Morty and the Empty Forties,Ghostlove: An Alt-Rock Musical in 5 Parts,25.0,43839.0,Falso
128,sin_nombre,Sin genero,alt-J,The Dream,24.0,282000.0,Falso
129,ROCK THAT SHIT! - Slowed Down,alt-rock,"Anarchist Sanctuary, asteria",ROCK THAT SHIT! (Alternate Mixes),32.0,121658.0,Verdadero
130,Hunger of the Pine,alt-rock,alt-J,Hunger of the Pine,26.0,298670.0,Falso
131,Rock and Roll - Alternate Mix,alt-rock,Led Zeppelin,Led Zeppelin IV (Deluxe Edition),32.0,219680.0,sin_valor
132,Pusher,alt-rock,alt-J,This Is All Yours,29.0,209270.0,Falso
133,Georgia Rhythm,alt-rock,Atlanta Rhythm Section,A Rock And Roll Alternative,30.0,292733.0,Falso
134,s.A.D,alt-rock,The Exies,sin_album,33.0,238130.0,Falso
135,ROCK THAT SHIT! - Sped Up,alt-rock,"Anarchist Sanctuary, asteria",ROCK THAT SHIT! (Alternate Mixes),28.0,102860.0,Verdadero
136,Misfits : SOLAR,alt-rock,ALT BLK ERA,Misfits : SOLAR,29.0,179317.0,Falso
137,Alternative Rock,alt-rock,"HOYO-MiX, 王可鑫",Honkai: Star Rail - Out of Control (Original Game Soundtrack),26.0,78750.0,Falso
138,Awake 24,alt-rock,Ra,Awake 24,26.0,243654.0,Falso
139,Rock Steady,alt-rock,Alton Ellis,Treasure Isle Collection,22.0,158106.0,Falso
140,Walk a Mile,alt-rock,alt-J,The Dream,25.0,389933.0,Falso
141,Ve Kamleya,alt-rock,"Pritam, Arijit Singh, Shreya Ghoshal, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya",Rocky Aur Rani Kii Prem Kahaani (Original Motion Picture Soundtrack),50.0,246988.0,Falso
142,"Keep The Change, You Filthy Animal",alt-rock,All Time Low,Nothing Personal (Deluxe Version),31.0,200133.0,Falso
143,Rocker,alt-rock,Alter Ego,Transphormer,28.0,288053.0,sin_valor
144,Alternate Reality 3035,alt-rock,tiedye ky,Basspunk Loverboy (Remastered),19.0,207483.0,Falso
145,Rock Around With Ollie Vee - Alternate Version,alt-rock,Buddy Holly,That'll Be The Day,31.0,138066.0,Falso
146,Face in the Wind,Sin genero,311,Mosaic,23.0,220933.0,Falso
147,Rock Around the Clock (Alternate Take),alt-rock,Bill Haley & His Comets,Presenting Bill Haley & His Comets,30.0,131080.0,sin_valor
148,A.D.D,alt-rock,alt.,ABEYANCE,28.0,217582.0,Verdadero
149,I'm Still in Love With You,alt-rock,Alton Ellis,Sings Rock and Soul,21.0,201493.0,Falso
150,Alternative Outro,alternative,LUCKI,Alternative Trap,41.0,290063.0,Verdadero
151,Alternative Ulster,alternative,Stiff Little Fingers,Inflammable Material,45.0,163880.0,Falso
152,the alternative,alternative,Lyn Lapid,to love in the 21st century,46.0,183693.0,Falso
153,ALTERNATIVE,alternative,RØRY,Family Drama,39.0,184800.0,Falso
154,Alternative Trouble,alternative,LUCKI,Alternative Trap,34.0,198060.0,Verdadero
155,ALTERNATIVE,alternative,RØRY,ALTERNATIVE,28.0,184800.0,Falso
156,Alternative Outro,alternative,LUCKI,Alternative Trap,20.0,290063.0,sin_valor
157,Alternative Universe,alternative,Apel8,Alternative Universe,32.0,156168.0,Falso
